Title,Description,Category,Date,Link
£10 billion North Wales AI Growth Zone,£10 billion investment into North Wales creating  thousands of jobs and long-term AI economy for the next generation.,Investment,20 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
£10 billion+ South Wales AI Growth Zone,"£10bn+ local investment creating 5,000+ jobs with Wales’ industrial heritage powering an ambitious AI future.",Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
£3.9bn Investment from Equinix in Hertfordshire,Major datacentre investment in the UK,Investment,21 November 2025,https://newsroom.equinix.com/2025-10-30-Equinix-to-invest-GBP3-9-billion-in-UKs-critical-national-infrastructure-in-boost-to-countrys-economy
£100 million Groq Investment,"£100million from Groq, a leading AI chip company, opening its first datacentre in the UK",Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
Graphcore doubles UK Headcount,"Graphcore, the UK’s AI chip powerhouse is doubling its UK headcount and building a new AI Development Lab near Bristol. ",Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
£150 million AI Pathfinder Investment,"AI Pathfinder, a new UK AI emerging hyperscaler, announcing a £150m investment in the UK",Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
£80m Perplexity Investment,"Expansion of Perplexity’s offices in London, creating exceptional AI jobs",Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
"AI leader, Cursor, opening new office",Coding AI platform Cursor opening its first UK office,Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
Cerebras office opening,"Leading AI chip maker, Cerebras, announcing UK partnership as part of Cerebras for Nations, as well as a London office opening",Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
£100 million for Advance Market Compute,"A world-first Advance Market Commitment for novel compute, using £100m to back public research and British startups",Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
£250 million compute for British Researchers,Launching £250m of compute capacity for British researchers. Backing our talent with the chips that will power the British AI economy.,Investment,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
AI Ambassadors,"Founder of Monzo Tom Blomfield, Head of Deepmind AI research Raia Hadsell, and Nobel winner Simon Johnson - will all join forces with UK government to shape the most audacious British AI future",Talent,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
Sovereign AI,"James Wise, Partner at multibillion pound UK VC Balderton Capital, will become Chair of the UK Sovereign AI Taskforce, working to make the future of AI distinctly British",Talent,21 November 2025,https://www.gov.uk/government/news/ai-to-power-national-renewal-as-government-announces-billions-of-additional-investment-and-new-plans-to-boost-uk-businesses-jobs-and-innovation
AI for Science strategy,"Our AI for Science strategy launches an audacious mission to create new drugs and tackle life-threatening diseases, backed with £137m",Stratergy,21 November 2025,https://www.gov.uk/government/publications/ai-for-science-strategy/ai-for-science-strategy
AI Growth Labs,"A new blueprint for AI regulation will introduce safe, supervised sandboxes. This aims to accelerate responsible AI innovation, cut bureaucracy, and support applications in sectors including healthcare, housing, professional services and advanced manufacturing.",,21 October 2025,https://www.gov.uk/government/news/new-blueprint-for-ai-regulation-could-speed-up-planning-approvals-slash-nhs-waiting-times-and-drive-growth-and-public-trust
UK-Netherlands Innovation Partnership,"We’ve signed a new UK-Netherlands Innovation Partnership to deepen ties on AI, quantum and semiconductors",,12 November 2025,https://www.gov.uk/government/news/uk-and-netherlands-forge-ahead-together-to-grow-the-industries-of-the-future
OpenAI<>Ministry of Justice Data Hosting Partnership,"Through an ongoing partnership with the Ministry of Justice, OpenAI will enable UK organisations to store data on secure British servers for the first time. AI tools across the Ministry of Justice are expected to save up to 240,000 days of staff time each year.",,23 October 2025,https://www.gov.uk/government/news/openai-to-expand-into-uk-data-hosting-after-major-growth-deal
£8.9 million Regulatory Innovation Office funding package,"The Government is providing an £8.9 million boost for 16 projects to cut outdated red tape, so that the UK’s innovators can get new technologies out of the lab and into use sooner.",,22 October 2025,https://www.gov.uk/government/news/government-cuts-red-tape-to-revolutionise-public-services-with-cutting-edge-tech
North East AI Growth Zone,"The North East’s AI Growth Zone is set to unlock up to £30 billion in private investment and more than 5,000 new jobs",,24 September 2025,https://www.gov.uk/government/news/north-east-ai-growth-zone-taskforce-launched-to-accelerate-jobs-skills-and-growth
£31 billion UK–US Tech Prosperity Deal,"The UK and US agreed a historic technology partnership focused on AI, quantum and nuclear, backed by more than £31 billion in new commitments to UK AI infrastructure and cutting-edge tech, from top firms like Microsoft, NVIDIA, Google, OpenAI and CoreWeave.",,16 September 2025,https://www.gov.uk/government/news/us-uk-pact-will-boost-advances-in-drug-discovery-create-tens-of-thousands-of-jobs-and-transform-lives
£4m investment in AI crime prevention system,"The Government launched “Concentrations of Crime Data Challenge”, with an initial £4m investment, to develop a real-time, interactive crime mapping system for England and Wales by 2030.",,15 August 2025,https://www.gov.uk/government/news/ai-to-help-police-catch-criminals-before-they-strike
£500m Local Innovation Partnerships Fund,"Local leaders across the UK to be backed by at least £30 million each, to help target science and tech funding towards regional strengths.",,29 July 2025,https://www.gov.uk/government/news/local-leaders-in-every-uk-nation-backed-by-30-million-each-to-drive-transformative-innovation-and-grow-the-economy
